Titulo,Preço,Marca,Temperatura,Num de Comentários
"Esponja Microfibra para limpar Vidros multiuso, EDV-J, Flash Limp","R$ 1,70",Amazon,304º,3
 Cadeira de escritório TGTTGT-OFC-001 TGT  preta com estofado de mesh,R$ 189,Pichau,187º,3
Creatina 300g (100% pura) - Max Titanium,"R$ 99,85",Amazon,235º,1
Noviça Balde com Escorredor Concept Capacidade de 14 L (cores sortidas),"R$ 25,46",Amazon,212º,3
Papel Higiênico Neutro Folha Dupla Personal 30m Leve 16 Pague 15,R$ 16,Mercado Livre,413º,6
"(Regional / R$ 8,99 cada) Kit com 10 Desodorante Rexona Aerossol Men 90G/150Ml Invisible Antibac","R$ 89,90",Americanas,287º,10
Smart TV 43 LG 4K UHD 43UQ7500 Wi-Fi Bluetooth HDR ThinQ AI Google Alexa,R$ 1709,Americanas,260º,5
Kit Gin Tanqueray Rangpur Lime - Limão Cravo 700ml 2uni,R$ 107,Casas Bahia,209º,0
Sem título,Sem preço,Sem Marca,Sem Temperatura,Sem Comentarios
Lenovo Notebook ideapad Gaming 3 R7-5800H 8GB 256GB SSD PCIe GTX 1650 4GB 15.6 FHD W11 82MJ0001BR,R$ 3996,Amazon,280º,7
Processador Ryzen 5 5500 6 núcleos e 12 threads,R$ 433,AliExpress,152º,4
[RECORRENCIA] Creme Dental Colgate Sensitive Pro-Alívio Imediato Branqueador 90g,"R$ 10,71",Amazon,215º,2
Kit com 3  Maionese de Alho com Ervas Heinz 215g,R$ 26,Casas Bahia,378º,5
"[SUPER R$ 4,55] Lápis Grafite Nº 2B Redondo + Apontador, Faber-Castell,EcoLápis Max, 6 Unidades","R$ 5,36",Amazon,246º,1
"WATER COOLER AIGO AC SE 240, RAINBOW, 240MM",R$ 279,Pichau,224º,12
"Gabinete Gamer Montech AIR 100 Lite, Mid Tower, White,  mATX, 2 Fans, Vidro Temperado",R$ 239,Terabyte Shop,321º,0
"Monitor Gamer SuperFrame Precision Ultra, 31.5 Pol, Quad HD, 2.5K, 1ms, HDMI/DP/VGA, SFP3215",R$ 1179,Terabyte Shop,363º,5
Sem título,Sem preço,Sem Marca,Sem Temperatura,Sem Comentarios
Tênis Nike Court Vision Mid Winter Masculino,R$ 499,Nike,632º,28
[MEMBERS] Samsung Galaxy Tab S8 ULTRA 5G 512GB 16GB RAM Tela 14.6 Super AMOLED Snapdragon 8gen1,R$ 5399,Samsung,619º,51
Smartphone Samsung Galaxy S22 128GB 5G Wi-Fi Tela 6.1'' Dual Chip 8GB RAM Câmera Tripla + Selfie 10MP - Verde,R$ 2879,Americanas,974º,27
Smart Tv Philco 65 Ptv65g10ag11sk Preto Bivolt,R$ 2759,Web Continental,186º,5
"Pen Drive 128GB Kingston DataTraveler Exodia Onyx, USB 3.2 - DTXON/128GB","R$ 59,99",KaBuM!,632º,12
Tênis Adidas Hoops 3.0 Mid Masculino,R$ 290,Netshoes,350º,1
SSD 1TB M.2 NVMe PCIe 3500mb/s Leit - 2100mb/s Grav NV2 SNV2S/1000G Kingston,R$ 279,Amazon,1182º,18
"Smart TV 50"" 4K LED TCL 50P635 VA Wi-Fi - Bluetooth HDR Google Assistente 3 HDMI 1 USB",R$ 1838,Americanas,603º,12
Sem título,Sem preço,Sem Marca,Sem Temperatura,Sem Comentarios
[Conta Nova R$ 92] SSD Sata 3 XrayDisk 512GB Case de Metal,R$ 110,AliExpress,342º,4
Steam Deck 64gb,R$ 3500,Amazon,728º,43
Pistola de água Baseus para Lavar Carro,"R$ 50,71",AliExpress,317º,8
"Smart TV 32"" LG HD 32LQ620 Wi-Fi Bluetooth HDR ThinQ AI Google Alexa",R$ 989,Americanas,575º,9
"Cabo Hdmi 2.0 4K Hdr 19P 2M Pix Gold, Preto",R$ 14,Amazon,451º,1
"[Rec]Amaciante Concentrado Downy Perfume Collection Paixão 1,35 L",R$ 20,Amazon,387º,11
Kit de Ferramentas com 129 Peças,"R$ 39,99",Casa e Construção,828º,18
EA Racing Mega Collection Bundle ,"R$ 95,76",Steam,535º,11
Sem título,Sem preço,Sem Marca,Sem Temperatura,Sem Comentarios
Placa De Vídeo RX 5700,R$ 655,AliExpress,1096º,66
Cupom centauro oferece 20% de desconto em produtos selecionados,20% OFF,Centauro,266º,1
Processador Ryzen 5 5600g,R$ 534,AliExpress,1034º,14
[Jogo Grátis] Falling Words,Grátis,Indiegala,1021º,3
Mala de Bordo ABS 4 Rodas Adventure Fortt Prata - MAB01-PR,R$ 169,Casas Bahia,762º,11
Kit com 4 Ervilha Quero Sachê 170g,"R$ 11,98",Ponto Frio,294º,4
Whisky Maker`s Mark Bourbon 750ml,R$ 129,Casas Bahia,495º,12
"[APP] Smartphone Samsung Galaxy A24, 128GB, 4GB RAM, Tela 6.5 AMOLED, Dual Chip, 2023",R$ 899,Samsung,1778º,59
Sem título,Sem preço,Sem Marca,Sem Temperatura,Sem Comentarios
Ketel One Botanical Peach & Orange Blossom - 700ml,"R$ 29,99",Casas Bahia,630º,14
"Smart TV Samsung UHD Processador Crystal 4K 55AU7700 55""",R$ 2252,Samsung,721º,9
Jaqueta ASICS com Capuz Masculina Manga Raglan Lettering,R$ 119,Centauro,1125º,22
Kit de Ferramentas Fasterr 142 peças,"R$ 50,39",Casas Bahia,415º,7
"Caixa de Som Amplificada Lenoxx CA60 Bluetooth, Rádio FM, USB - 80W",R$ 116,Casas Bahia,338º,5
Conjunto de Facas 4 Peças Tramontina Plenus em Aço Inox e Polipropileno ,"R$ 28,26",Ponto Frio,497º,2
Absolut Vodka Sueca 1000ml,R$ 59,Extra,621º,6
Licor Amaretto Dell` Orso 700ml,"R$ 54,60",Extra,662º,10
Power BI Completo - Do Básico ao Avançado,R$ 22,Udemy,1609º,18
Dragon Age: Origins | Xbox,R$ 13,Loja Xbox Games,748º,4
Economize 60% OFF no Outlet Hering usando o Cupom,60% OFF,Hering Outlet,460º,8
Tênis Nike Renew Ride 3 Masculino,R$ 269,Mercado Livre,768º,11
4 uni OMO Desinfetante Lavanda 500ml,"R$ 2,50",Americanas,815º,11
"Carregador rápido Xiaomi 67W + Cabo USB C de 1.5 metros - Original, para Smartphone, Tablet","R$ 68,57",AliExpress,1057º,22
"[REC+SUPER R$ 6,67] Sensodyne - Creme Dental Pró-Esmalte para Dentes Sensíveis - 50g","R$ 8,90",Amazon,589º,9
[REC] Sabão Líquido Concentrado Ariel com toque de Downy 2L,R$ 28,Amazon,499º,6
SSD M2 Netac NVME 1TB M.2 2280 PCIe,R$ 184,AliExpress,1656º,32
Tênis Adidas Breaknet Masculino - Preto,R$ 191,Netshoes,793º,17
[Novo Usuário R$ 88] Carregador Xiaomi 120w Original + Cabo,R$ 103,AliExpress,773º,12
Seleção de CD com até 60% OFF [Links na descrição] ,R$ 15,Extra,615º,10
Kit 2 mesas de cabeceira TuttiCasa-Branco,R$ 112,Amazon,709º,2
"Notebook Lenovo IdeaPad Gaming 3i i7-12650H 16GB 512SSD 3050 Tela 15,6"" FHD-WVA 120Hz W11",R$ 5939,Lenovo,755º,21
Sparta Chave Phillips Pt. Ph 1/8 X 5 Crv Cabo Dupla Injeção,"R$ 3,59",Amazon,537º,4
"Headset Gamer HyperX Cloud Blue PS4, Conexão 3.5mm, Driver 53mm",R$ 189,KaBuM!,447º,14
Legião Urbana CD  Legião Urbana - Acústico MTV CD Legião Urbana - Acústico MTV,R$ 10,Extra,1352º,20
Seleção de roupas feminina de tricô por menos de R$25 com links na descrição,R$ 25,Ponto Frio,453º,0
Tênis Olympikus Corre1 Unissex tamanho 35,R$ 110,Olympikus,711º,10
Cupom garante R$80 de desconto em compras acima de R$399 no Pão de Açúcar ,R$ 80 OFF,Pão de Açucar,789º,1
"Seleção utensílios de cozinha a partir de R$3,90 [Links na Descrição]","R$ 3,90",Extra,410º,2
"Smart TV Samsung UHD Processador Crystal 4K 70AU7700 Tela Sem Limites Visual Livre de Cabos 70""",R$ 3632,Samsung,540º,18
"Smart TV 50"" Neo QLED 4K Samsung Gaming 50QN90B, Mini Led, Painel até 144hz, Processador com IA, Som em Movimento, Tela sem limites, Design slim",R$ 3419,Casas Bahia,1130º,31
Garanta R$10 de cashback ao comprar R$30 no aliexpress e pagar por PIX no cartão via recarga pay,R$ 10 OFF,AliExpress,951º,9
[APP]Galaxy Z Flip4 5G 128GB Violeta,R$ 3599,Samsung,1131º,11
"Robô Aspirador de Pó KaBuM! Smart 700, Branco, Mapeamento IR 360º, Controle via Aplicativo, Google Assistant e Alexa - KBSF006",R$ 1399,KaBuM!,1348º,65
Cupom Kaspersky oferece 60% OFF em todo o site,60% OFF,Kaspersky,655º,21
Ganhe 2 meses grátis de assinatura Apple TV+ | Séries e Filmes,Grátis,Apple,4981º,123
Kaspersky Premium Total Protection - 5 dispositivos (1 Ano),R$ 44,Kaspersky,894º,30
Power Bank  Basesus 15 W 10000 mAh,R$ 112,AliExpress,644º,8
Batedor De Ovos Clara Fouet Manual De Silicone Cabo Inox,"R$ 10,53",Ponto Frio,415º,2
Bateria para controle xbox one,"R$ 23,50",Ponto Frio,409º,23
O que você achou da última versão do Pelando? Conta pra gente! 😊,Grátis,Sem Marca,1864º,0
"[APP] Teclado Mecânico Gamer Logitech G PRO K/DA Layout US, RGB, TKL,  GX Brown Tactile",R$ 449,KaBuM!,437º,14
"[Cliente Ouro/magalupay] Monitor Philips Série V8 242V8A 23,8” LED IPS 75Hz",R$ 634,Magazine Luiza,1311º,14
Capa Bolsa A Prova Dágua Impermeável Universal Para Celular - Booglee®,"R$ 9,90",Ponto Frio,454º,9
"Smartphone Samsung Galaxy M54 5G, 128GB, 8GB RAM, Tela de 6.7"" Dual Chip - Azul",R$ 1650,Ponto Frio,989º,22
Grampeador Tapeceiro Alta Pressão Prof. Maleta 500 Grampos Sparta,"R$ 30,74",Casas Bahia,759º,13
Tênis Adidas Vulc Raid3R Masculino - Verde+Branco,R$ 178,Netshoes,844º,7
"Smartphone Samsung Galaxy M54 5G, 256GB, 8GB RAM, Tela Infinita de 6.7"" Dual Chip - Prata",R$ 1724,Ponto Frio,955º,25
Óculos de Sol Com Fone de Ouvido Bluetooth 5.0 Lecoo C8 LENOVO,"R$ 79,59",AliExpress,856º,14
Economize R$ 30 acima de R$ 299 no Mercado Livre,R$ 30 OFF,Mercado Livre,1563º,11
Areia para Gato Pipicat Classic Kelco 12kg,"R$ 26,98",Ponto Frio,774º,8
Ganhe miniatura de Lápis Labial Make B. no APP Boticário,Grátis,Boticário,1654º,9
Teclado REDRAGON Fizz K617,R$ 152,AliExpress,444º,16
"Monitor Gamer ASRock 34 LED QHD Curvo, 165Hz, 1ms, HDMI e DisplayPort, 115% sRGB, HDR 400, FreeSync Premium, VESA - PG34WQ15R2B",R$ 3389,KaBuM!,453º,29
"[Primeira Compra R$158,09] Escavadeira de Controle Remoto - Brinquedo para crianças",R$ 173,AliExpress,1172º,16
"[REC/SUPER R$20,55]NIVEA Creme Facial Antissinais 100g - Fórmula com hidronutrientes ","R$ 24,65",Amazon,480º,0
"Stream Deck Elgato Mini, 6 Teclas Personalizáveis de LCD, USB Integrado, Preto - 10GAI9901",R$ 361,KaBuM!,458º,22
"Smartphone Moto G52 128GB, RAM 4GB, Octa Core, Branco - PAU60019BR + SmartWatch KaBuM! Smart 500, Preto,Pulseira Extra Preto e Vermelho-KBSAC0",R$ 1097,KaBuM!,1182º,15
Triturador Alho Manual Processador Picador Fatiador Legumes,"R$ 30,15",Mercado Livre,531º,18
"Glutamina L-G, Max Titanium, 300 g","R$ 49,40",Amazon,608º,12
Coleman Copo Térmico de Cerveja 600ml Inox + 6 Cervejas Patagônia ,R$ 116,Amazon,1168º,20
Bosch Jogo Brocas Alvenaria/Metal/Madeira Mini X-Line,"R$ 54,93",Amazon,553º,0
Ventilador Mondial 6 Pás Super Power 40cm 127V,"R$ 95,99",Casas Bahia,390º,7
[Conta Nova R$ 185] SSD M.2 NVME Kingspec NX SERIES 1TB Pcie 3.0,R$ 198,AliExpress,456º,6
"[REC / SUPER R$13,5] NIVEA Hidratante Corporal Milk Pele Seca 400ml","R$ 16,19",Amazon,361º,2
"[L4P3/REC] Veja Gold Original - Limpador Multiuso, 3 unidades de 500ml","R$ 11,86",Amazon,540º,10
"Smartband Xiaomi Mi Band 8 com tela AMOLED - Relógio inteligente Bluetooth, 150 modos de esportes ",R$ 186,AliExpress,1011º,12
[REGIONAL] Leite Integral UHT Ninho Forti+ Vitaminado 1 L,"R$ 4,83",Carrefour,1064º,18
CD Coleção Tim Maia 1971,R$ 7,Amazon,1669º,6
[Conta Nova R$ 326 ] SSD M.2 Nvme Adata XPG Gammix S70 Blade 1TB  compatível com PS5,R$ 341,AliExpress,689º,15
Tênis Fila V.Track 3.0 Masculino Marinho + Verde - Tamanhos 39 e 41,R$ 126,Netshoes,434º,13
"Monitor Gamer Mancer Horizon Z24, 23.8 Pol. Va, Full HD, 1ms, 75Hz, Freesync/G-Sync, VGA/HDMI, MCR-HZN24-BL1",R$ 576,Casas Bahia,450º,2
(Rec) Desodorante Gel Antitranspirante Gillette Hydra Gel Aloe 82g,R$ 17,Amazon,762º,14
Controle remoto para FireTV bluetooth,R$ 38,AliExpress,881º,31
Cupom 10% OFF em Gift Card Ifood nas Lojas Americanas,10% OFF,Americanas,819º,16
Samsung (MZ-V8V500B/AM) 980 SSD 500 GB - M.2 NVMe Interface Unidade de Estado Sólido Interno com Tecnologia V-NAND,R$ 363,Amazon,423º,4
"3 meses de Kindle Unlimited por R$1,99 para novos assinantes","R$ 1,99",Amazon,834º,25
Base Suporte Notebook Regulável Refrigerada Gamer Cooler,"R$ 45,82",Americanas,407º,6
Mochila Reforçada Impermeável Masculina Feminina Notebook,R$ 119,Mercado Livre,425º,13
Lavadora de Roupas Samsung 10Kg WW4000 - WW10J4273PX,R$ 2400,Samsung,1203º,18
